[2020-05-07T13:06:19.026Z] Information - Logging subsystem initialized.
[2020-05-07T13:06:19.055Z] DEBUG - GrassMarlin 3.2.1-r26
[2020-05-07T13:06:19.058Z] Error - Unable to locate Cidr -> GeoId data file.
[2020-05-07T13:06:19.064Z] Error - Unable to locate GeoId -> Name data file.
[2020-05-07T13:06:19.360Z] DEBUG - Configuration:
[2020-05-07T13:06:19.361Z] DEBUG -   [WIRESHARK_EXEC]: 'E:\program_files\wireshark\Wireshark.exe'
[2020-05-07T13:06:19.362Z] DEBUG -   [TEXT_EDITOR_EXEC]: 'C:\Windows\System32\Notepad.exe'
[2020-05-07T13:06:19.362Z] DEBUG -   [PDF_VIEWER_EXEC]: 'null'
[2020-05-07T13:06:19.363Z] DEBUG -   [DIR_INSTALL]: '.'
[2020-05-07T13:06:19.363Z] DEBUG -   [DIR_IMAGES_ICON]: 'images'
[2020-05-07T13:06:19.364Z] DEBUG -   [PATH_MANUFACTURER_DB]: 'E:\program_files\wireshark\manuf'
[2020-05-07T13:06:19.364Z] DEBUG -   [PATH_USERGUIDE]: 'data\reference\GRASSMARLIN_User_Guide3.2.pdf'
[2020-05-07T13:06:19.365Z] DEBUG -   [DIR_CORE_FINGERPRINTS]: 'data\fingerprint'
[2020-05-07T13:06:19.365Z] DEBUG -   [DIR_LIVE_CAPTURE]: 'F:\JavaProjects_IDEA\GM3 - compile\livecaptures'
[2020-05-07T13:06:19.366Z] DEBUG -   [DIR_LOGS]: 'F:\JavaProjects_IDEA\GM3 - compile\logs'
[2020-05-07T13:06:19.366Z] DEBUG -   [DIR_USER_FINGERPRINTS]: 'F:\JavaProjects_IDEA\GM3 - compile\fingerprints'
[2020-05-07T13:06:19.483Z] DEBUG -   [DIR_QUICKLIST]: 'C:\Users\DELL\Documents\GrassMarlin\quicklist'
[2020-05-07T13:06:19.484Z] DEBUG -   [DIR_SESSIONS]: 'C:\Users\DELL\Documents\GrassMarlin'
[2020-05-07T13:06:19.484Z] DEBUG -   [PCAP_FLAG_MODE]: '1'
[2020-05-07T13:06:19.485Z] DEBUG -   [PCAP_FLAG_SNAPLEN]: '0xFFFF'
[2020-05-07T13:06:19.485Z] DEBUG -   [PCAP_FLAG_TIMEOUT]: '30000'
[2020-05-07T13:06:19.485Z] DEBUG -   [PCAP_FLAG_CAPTURE_LIMIT]: '-1'
[2020-05-07T13:06:19.485Z] DEBUG -   [PATH_PCAP_FILTERS]: 'F:\JavaProjects_IDEA\GM3 - compile\PcapFilters.txt'
[2020-05-07T13:06:19.486Z] DEBUG -   [PCAP_FILTER_STRING]: ' '
[2020-05-07T13:06:19.486Z] DEBUG -   [PCAP_FILTER_TITLE]: 'ALLOW ALL TRAFFIC'
[2020-05-07T13:06:19.486Z] DEBUG -   [UI_VIEW_UPDATE_DELAY]: '1500'
[2020-05-07T13:06:19.486Z] DEBUG -   [COLOR_NODE_NEW]: '0000FF'
[2020-05-07T13:06:19.486Z] DEBUG -   [COLOR_NODE_MODIFIED]: '00FF00'
[2020-05-07T13:06:19.487Z] DEBUG -   [COLOR_NODE_BACKGROUND]: '000000'
[2020-05-07T13:06:19.487Z] DEBUG -   [COLOR_NODE_HIGHLIGHT]: 'FFFF00'
[2020-05-07T13:06:19.487Z] DEBUG -   [COLOR_NODE_TEXT]: 'FFFFFF'
[2020-05-07T13:06:19.487Z] DEBUG -   [LOGICAL_CREATE_DYNAMIC_SUBNETS]: 'true'
[2020-05-07T13:06:19.488Z] DEBUG -   [LOGICAL_DYNAMIC_SUBNET_BITS]: '24'
[2020-05-07T13:06:19.488Z] DEBUG -   [LAST_RUN_VERSION]: '3.2.1'
[2020-05-07T13:06:19.488Z] DEBUG -   [SUPPRESS_UNCHANGED_VERSION_NOTES]: 'true'
[2020-05-07T13:06:19.489Z] DEBUG -   [FINGERPRINT_SAVEAS_LEAVES_OLD]: 'true'
[2020-05-07T13:06:19.490Z] Warning - Unable to initialize JNetPCap; packet capture functionality will be disabled.
[2020-05-07T13:06:20.108Z] Error - There was an error enumerating plugins: F:\JavaProjects_IDEA\GM3 - compile\out\production\plugins
